cluster,lat,lon,dist_to_parking
99,37.57744,126.91790000000002,1723.9609088553493
100,37.52357,126.88287999999999,683.3589292393694
101,37.4715479,126.97649340000001,1100.478852542805
102,37.57682,126.81422,0.0
103,37.5028911,126.9775288,1398.7166216891515
104,37.4910095,126.83773789999998,4148.910204756932
105,37.4801373,127.0217889,970.7385716205799
106,37.4969824,127.1197239,1018.3526218744034
107,37.5831882,126.9055622,1735.992132274039
108,37.56528,127.15761,1225.9457210499447
109,37.6826056,127.04254049999999,1862.332055319279
110,37.51938,126.88467,1070.7108936710044
111,37.5573174,126.9417493,546.8178760708448
112,37.5662284,126.942899,1458.6210735701216
113,37.4753253,126.88639539999998,2.2453732492849647e-09
114,37.5222786,126.9078574,2546.438305921048
115,37.56058,126.94496,1004.6739657644588
116,37.5206681,126.8911962,1452.240253311649
117,37.50941,126.88285,0.0
118,37.4999309,126.9521902,723.9969374936317
119,37.5024827,127.103495,0.0
120,37.4931629,126.851736,2899.102085804174
121,37.55534720744186,126.8725283,748.057429571581
122,37.54254,126.93469,959.2841704190128
123,37.54914,126.94915000000002,335.91726097054493
124,37.4838745,126.8889756,977.5139580037177
125,37.5110101,126.94146340000002,1183.9525257977111
126,37.5289579,127.14476589999998,2244.870462913633
127,37.5398309,127.1466106,1049.7535157153668
128,37.63021,127.08818,0.0
129,37.48421,127.07006,1236.4965362721753
130,37.54841,127.15158000000001,2.243175659735735e-09
131,37.51702,126.89591000000001,1429.315169719646
132,37.5871,126.94676,1527.8349182096895
133,37.5014521,127.0901512,928.2832249913066
134,37.54616,126.93299,538.809365662435
135,37.5224036,126.89391,1652.204687161476
136,37.5476771,126.818987,460.61077875341675
137,37.5072393,127.0286351,190.66107898849475
138,37.5032363,126.8588409,2226.313251102635
139,37.4820989,126.942562,596.3050628542734
140,37.553881,126.93731199999999,0.0
141,37.514477,126.8898892,838.4136235010335
142,37.53208,126.90102000000002,1759.3234015954165
143,37.55567990000001,126.7931257,2170.7410197912404
144,37.51337,126.95477,1871.9364342949652
145,37.57092,126.87752,2240.965753785534
146,37.52309,126.88868,1186.3302702916792
147,37.55073,127.1704,1679.0767238130063
148,37.51588,126.88411,727.9653658409488
149,37.5300432,127.0313346,343.5975965841771
150,37.4813204,126.8244434,5504.369303866266
151,37.5851873,126.8948584,2056.3469814068753
152,37.5071426,127.0278333,172.83252465139188
153,37.60395,126.93437,0.0
154,37.4806088,127.041914,137.1450729181367
155,37.4833331,127.0346947,792.4443004872819
156,37.48178245384615,126.90109044615384,1482.2365233257053
157,37.56348,126.95425999999999,1444.6184117950318
158,37.51005491388889,127.05623579722221,317.95982156302904
159,37.5054892,126.8925826,962.8534436051997
